function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
ad_mix,10,3,2,0,30.0
adjust_allocation,9,2,1,0,22.2
adjust_portfolio,9,1,0,0,11.1
adjust_queue,9,3,2,0,33.3
adjust_supply,9,3,2,0,33.3
allocate_bonus_cut,10,2,0,0,20.0
allocate_bounty_cut,11,1,0,0,9.1
allocate_budget_cut,9,3,1,0,33.3
allocate_pool_cut,9,1,0,0,11.1
allocate_prize_cut,11,3,1,0,27.3
api_rate_guard,9,1,0,0,11.1
attention_mask_merge,10,2,2,0,20.0
audit_window_filter,10,1,1,0,10.0
award_payout,10,2,0,0,20.0
backlog_rolling_avg,10,1,1,0,10.0
bandwidth_apportion,9,1,0,0,11.1
bandwidth_budgeter,9,1,1,0,11.1
bandwidth_rebalance,10,1,0,0,10.0
batch_rate,10,1,0,0,10.0
batch_tally,9,0,0,0,0.0
batchnorm_running_mean,9,1,0,0,11.1
bill_payout,9,3,1,0,33.3
billing_gate,10,1,0,0,10.0
blend_levels,9,3,0,0,33.3
blend_margins,10,3,0,0,30.0
blend_orders,10,3,0,0,30.0
blend_supplies,10,1,0,0,10.0
budget_budgeter,10,1,1,0,10.0
budget_mix,9,3,2,0,33.3
bump_click,9,1,0,0,11.1
bump_conversion,9,1,0,0,11.1
bump_job,9,1,1,0,11.1
bump_purchase,10,1,1,0,10.0
bump_refund,9,2,1,0,22.2
cache_entry_ttl,9,1,1,0,11.1
cached_inventory,9,1,1,0,11.1
cached_manifest,9,1,1,0,11.1
cached_metric,9,1,1,0,11.1
cached_preference,9,1,1,0,11.1
cached_route,9,1,1,0,11.1
cacheline_expiry,9,1,1,0,11.1
cacheline_refresh,10,1,1,0,10.0
calendar_slot_insert,10,1,1,0,10.0
calibrate_latency,9,2,1,0,22.2
calibrate_lift,9,2,0,0,22.2
calibrate_loss,10,2,0,0,20.0
calibrate_pressure,10,2,0,0,20.0
calibrate_quality,11,2,0,0,18.2
calibrate_score,10,2,0,0,20.0
calibrate_trend,10,1,1,0,10.0
catalog_cache,9,1,0,0,11.1
checkout_rate,9,2,1,0,22.2
cluster_rebalance_weights,9,4,2,0,44.4
combine_depths,10,1,0,0,10.0
combine_offsets,10,2,0,0,20.0
combine_requests,10,3,0,0,30.0
combine_responses,10,2,0,0,20.0
combine_scores,12,2,0,0,16.7
confidence_trendline,10,2,0,0,20.0
config_expiry,10,2,1,0,20.0
config_interpolate,11,2,0,0,18.2
cost_trendline,9,2,0,0,22.2
coupons_apportion,9,1,1,0,11.1
coverage_interp,10,2,1,0,20.0
cpu_allocator,11,1,1,0,9.1
credit_share,9,3,1,0,33.3
credits_allocator,9,1,1,0,11.1
dataloader_shard_merge,10,1,0,0,10.0
demand_curve,9,2,1,0,22.2
demand_forecast_curve,10,2,0,0,20.0
demands_union,11,1,0,0,9.1
divide_coupon,10,2,0,0,20.0
divide_refund,10,3,1,0,30.0
donation_share,9,3,1,0,33.3
download_rate,9,1,0,0,11.1
downtime_booking,10,1,1,0,10.0
draft_cache,9,2,1,0,22.2
email_send_quota,9,1,1,0,11.1
embedding_lookup_cache,9,3,3,0,33.3
energy_window_avg,10,1,1,0,10.0
error_meter,9,2,2,0,22.2
estimate_reliability,9,2,2,0,22.2
estimate_supply,11,2,0,0,18.2
estimate_temperature,10,1,0,0,10.0
event_gate,9,1,1,0,11.1
feature_cache,10,1,0,0,10.0
feature_flag_rollout,10,1,1,0,10.0
fee_splitter,9,2,0,0,22.2
file_chunk_stitch,10,2,0,0,20.0
fuel_moving_mean,10,1,1,0,10.0
gain_trendline,9,2,0,0,22.2
gpu_memory_pool,10,1,0,0,10.0
grades_union,10,1,0,0,10.0
gradient_clip_budget,9,2,2,0,22.2
grant_share,9,2,0,0,22.2
growth_trendline,10,2,0,0,20.0
guard_email,10,2,0,0,20.0
guard_search,11,1,1,0,9.1
guard_write,9,2,1,0,22.2
heartbeat_throttle,10,1,1,0,10.0
histogram_bucket_merge,10,4,0,0,40.0
ids_merge,10,2,0,0,20.0
inspection_booking,11,2,1,0,18.2
invoice_merge_stream,10,2,0,0,20.0
invoice_meter,11,0,0,0,0.0
job_queue_priority,9,1,0,0,11.1
kv_snapshot_reader,9,2,1,0,22.2
latencies_merge,11,2,0,0,18.2
latency_rolling_avg,9,1,1,0,11.1
ledger_balance_rollup,11,1,0,0,9.1
limit_api,10,2,2,0,20.0
limit_job,9,1,0,0,11.1
limit_message,10,1,0,0,10.0
limit_ping,10,2,2,0,20.0
limit_query,10,1,1,0,10.0
limit_sensor,9,2,2,0,22.2
load_mix,9,2,0,0,22.2
load_rolling_avg,9,1,1,0,11.1
log_sampling_decider,9,1,1,0,11.1
login_tally,10,1,1,0,10.0
login_throttle,9,1,0,0,11.1
lr_warmup_schedule,9,1,1,0,11.1
lru_evictor,9,2,0,0,22.2
machine_booking,9,1,1,0,11.1
maintenance_booking,9,0,0,0,0.0
memory_moving_mean,10,1,1,0,10.0
message_counter,9,2,1,0,22.2
metric_rolling_avg,10,1,1,0,10.0
model_confidence_clamp,10,2,0,0,20.0
notification_gate,10,1,1,0,10.0
offer_expiry,9,1,1,0,11.1
optimizer_step_guard,9,2,1,0,22.2
packets_window_avg,10,1,1,0,10.0
pages_union,9,2,0,0,22.2
payment_payout,11,3,1,0,27.3
payment_split_rebate,9,2,0,0,22.2
percentile_estimator,9,2,0,0,22.2
plan_appointment_slot,10,1,1,0,10.0
plan_conference_slot,10,3,3,0,30.0
plan_delivery_slot,10,2,2,0,20.0
plan_desk_slot,10,2,1,0,20.0
plan_jobs_share,10,1,1,0,10.0
plan_memo,9,2,0,0,22.2
plan_points_share,10,4,4,0,40.0
plan_seats_share,9,2,2,0,22.2
plan_tickets_share,12,2,2,0,16.7
plan_upgrade_slot,11,1,1,0,9.1
prediction_cache,10,1,1,0,10.0
price_cache,9,1,0,0,11.1
prices_stream,10,2,0,0,20.0
priority_mix,9,2,1,0,22.2
probability_curve,10,1,0,0,10.0
probability_rebalance,9,2,0,0,22.2
profile_expiry,9,2,2,0,22.2
queue_window_avg,9,2,2,0,22.2
quota_allocator_service,10,1,1,0,10.0
quota_for_capacity,10,1,0,0,10.0
quota_for_fuel,10,1,0,0,10.0
quota_for_inventory,10,1,0,0,10.0
quota_for_memory,11,1,0,0,9.1
quota_for_storage,10,1,1,0,10.0
quote_memo,9,3,3,0,33.3
rating_curve,10,2,0,0,20.0
read_throttle,10,2,0,0,20.0
realign_cache,9,4,2,0,44.4
realign_power,9,2,1,0,22.2
realign_replica,10,3,1,0,30.0
rebate_splitter,9,3,1,0,33.3
redis_like_expiry,9,2,2,0,22.2
rent_splitter,10,3,1,0,30.0
replica_sync_offsets,10,1,0,0,10.0
request_token_bucket,10,1,0,0,10.0
reservation_booking,10,2,2,0,20.0
