function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
ad_mix,7,3,2,0,42.9
adjust_allocation,8,2,1,0,25.0
adjust_portfolio,9,1,0,0,11.1
adjust_queue,8,2,2,0,25.0
adjust_supply,9,3,2,0,33.3
allocate_bonus_cut,7,2,0,0,28.6
allocate_bounty_cut,8,1,0,0,12.5
allocate_budget_cut,7,3,1,0,42.9
allocate_pool_cut,8,1,0,0,12.5
allocate_prize_cut,8,3,1,0,37.5
api_rate_guard,7,1,0,0,14.3
attention_mask_merge,9,2,2,0,22.2
award_payout,7,0,0,0,0.0
backlog_rolling_avg,7,1,1,0,14.3
bandwidth_apportion,7,0,0,0,0.0
batch_rate,8,1,0,0,12.5
batch_tally,8,0,0,0,0.0
batchnorm_running_mean,7,1,0,0,14.3
bill_payout,7,0,0,0,0.0
blend_margins,9,3,0,0,33.3
blend_orders,7,3,0,0,42.9
blend_supplies,7,1,0,0,14.3
budget_budgeter,7,1,1,0,14.3
budget_mix,8,3,2,0,37.5
bump_click,8,1,0,0,12.5
bump_conversion,7,1,0,0,14.3
bump_job,8,1,1,0,12.5
bump_purchase,8,1,1,0,12.5
bump_refund,7,2,1,0,28.6
cache_entry_ttl,8,1,1,0,12.5
cached_inventory,7,1,1,0,14.3
cached_manifest,8,1,1,0,12.5
cached_metric,7,1,1,0,14.3
cached_preference,8,1,1,0,12.5
cached_route,7,1,1,0,14.3
cacheline_expiry,8,1,1,0,12.5
cacheline_refresh,7,1,1,0,14.3
calendar_slot_insert,9,1,1,0,11.1
calibrate_latency,7,2,1,0,28.6
calibrate_lift,8,2,0,0,25.0
calibrate_loss,7,2,0,0,28.6
calibrate_pressure,7,2,0,0,28.6
calibrate_quality,7,2,0,0,28.6
calibrate_score,7,2,0,0,28.6
calibrate_trend,6,1,1,0,16.7
catalog_cache,7,1,0,0,14.3
checkout_rate,8,2,1,0,25.0
cluster_rebalance_weights,8,4,2,0,50.0
combine_depths,8,1,0,0,12.5
combine_requests,4,3,0,0,75.0
