function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
ad_mix,4,3,2,0,75.0
adjust_allocation,4,2,1,0,50.0
adjust_portfolio,4,1,0,0,25.0
adjust_queue,4,2,2,0,50.0
adjust_supply,4,3,2,0,75.0
allocate_bonus_cut,4,2,0,0,50.0
allocate_bounty_cut,4,1,0,0,25.0
allocate_budget_cut,4,3,1,0,75.0
allocate_pool_cut,4,1,0,0,25.0
allocate_prize_cut,4,3,1,0,75.0
api_rate_guard,4,1,0,0,25.0
attention_mask_merge,4,2,2,0,50.0
audit_window_filter,4,1,1,0,25.0
award_payout,4,1,0,0,25.0
backlog_rolling_avg,4,1,1,0,25.0
bandwidth_apportion,4,0,0,0,0.0
bandwidth_budgeter,4,1,1,0,25.0
bandwidth_rebalance,4,1,0,0,25.0
batch_rate,4,1,0,0,25.0
batch_tally,4,0,0,0,0.0
batchnorm_running_mean,4,1,0,0,25.0
bill_payout,4,1,1,0,25.0
billing_gate,4,1,0,0,25.0
blend_levels,4,3,0,0,75.0
blend_margins,4,3,0,0,75.0
blend_orders,4,3,0,0,75.0
blend_supplies,4,1,0,0,25.0
budget_budgeter,4,1,1,0,25.0
budget_mix,4,3,2,0,75.0
bump_click,4,1,0,0,25.0
bump_conversion,4,1,0,0,25.0
bump_job,4,1,1,0,25.0
bump_purchase,4,1,1,0,25.0
bump_refund,4,2,1,0,50.0
cache_entry_ttl,5,1,1,0,20.0
cached_inventory,4,1,1,0,25.0
cached_manifest,4,1,1,0,25.0
cached_metric,4,1,1,0,25.0
cached_preference,4,1,1,0,25.0
cached_route,4,1,1,0,25.0
cacheline_expiry,4,1,1,0,25.0
cacheline_refresh,4,1,1,0,25.0
calendar_slot_insert,4,1,1,0,25.0
calibrate_latency,4,2,1,0,50.0
calibrate_lift,4,2,0,0,50.0
calibrate_loss,4,2,0,0,50.0
calibrate_pressure,4,2,0,0,50.0
calibrate_quality,4,2,0,0,50.0
calibrate_score,4,2,0,0,50.0
calibrate_trend,4,1,1,0,25.0
catalog_cache,4,1,0,0,25.0
checkout_rate,4,2,1,0,50.0
cluster_rebalance_weights,4,4,2,0,100.0
combine_depths,4,1,0,0,25.0
combine_offsets,4,2,0,0,50.0
combine_requests,4,3,0,0,75.0
combine_responses,4,2,0,0,50.0
combine_scores,5,2,0,0,40.0
confidence_trendline,4,2,0,0,50.0
config_expiry,4,2,1,0,50.0
config_interpolate,4,2,0,0,50.0
cost_trendline,4,2,0,0,50.0
coupons_apportion,4,1,1,0,25.0
coverage_interp,4,2,1,0,50.0
cpu_allocator,5,1,1,0,20.0
credit_share,4,3,1,0,75.0
credits_allocator,4,1,1,0,25.0
dataloader_shard_merge,4,1,0,0,25.0
demand_curve,4,2,1,0,50.0
demand_forecast_curve,4,2,0,0,50.0
demands_union,5,1,0,0,20.0
divide_coupon,4,1,0,0,25.0
divide_refund,4,3,1,0,75.0
donation_share,4,3,1,0,75.0
download_rate,4,1,0,0,25.0
downtime_booking,4,1,1,0,25.0
draft_cache,4,2,1,0,50.0
email_send_quota,4,1,1,0,25.0
embedding_lookup_cache,4,3,3,0,75.0
energy_window_avg,4,1,1,0,25.0
error_meter,4,2,2,0,50.0
estimate_reliability,5,2,2,0,40.0
estimate_supply,5,2,0,0,40.0
estimate_temperature,4,1,0,0,25.0
event_gate,4,1,1,0,25.0
feature_cache,4,1,0,0,25.0
feature_flag_rollout,4,1,1,0,25.0
fee_splitter,4,1,0,0,25.0
file_chunk_stitch,4,2,0,0,50.0
fuel_moving_mean,4,1,1,0,25.0
gain_trendline,4,2,0,0,50.0
gpu_memory_pool,4,0,0,0,0.0
grades_union,4,1,0,0,25.0
gradient_clip_budget,4,1,1,0,25.0
grant_share,4,2,0,0,50.0
growth_trendline,4,2,0,0,50.0
guard_email,4,2,0,0,50.0
guard_search,4,1,1,0,25.0
guard_write,4,2,1,0,50.0
heartbeat_throttle,4,1,1,0,25.0
histogram_bucket_merge,4,4,0,0,100.0
ids_merge,4,2,0,0,50.0
inspection_booking,4,2,1,0,50.0
invoice_merge_stream,5,2,0,0,40.0
invoice_meter,4,0,0,0,0.0
job_queue_priority,4,1,0,0,25.0
kv_snapshot_reader,5,2,1,0,40.0
latencies_merge,4,2,0,0,50.0
latency_rolling_avg,4,1,1,0,25.0
ledger_balance_rollup,4,1,0,0,25.0
limit_api,4,2,2,0,50.0
limit_job,4,1,0,0,25.0
limit_message,5,1,0,0,20.0
limit_ping,4,2,2,0,50.0
limit_query,4,1,1,0,25.0
limit_sensor,4,2,2,0,50.0
load_mix,4,2,0,0,50.0
load_rolling_avg,4,1,1,0,25.0
log_sampling_decider,4,1,1,0,25.0
login_tally,4,1,1,0,25.0
login_throttle,4,1,0,0,25.0
lr_warmup_schedule,4,1,1,0,25.0
lru_evictor,4,2,0,0,50.0
machine_booking,4,1,1,0,25.0
maintenance_booking,4,0,0,0,0.0
memory_moving_mean,4,1,1,0,25.0
message_counter,4,2,1,0,50.0
metric_rolling_avg,4,1,1,0,25.0
model_confidence_clamp,4,2,0,0,50.0
notification_gate,4,1,1,0,25.0
offer_expiry,4,1,1,0,25.0
optimizer_step_guard,4,2,1,0,50.0
packets_window_avg,4,1,1,0,25.0
pages_union,4,2,0,0,50.0
payment_payout,4,3,1,0,75.0
payment_split_rebate,4,2,0,0,50.0
percentile_estimator,4,2,0,0,50.0
plan_appointment_slot,4,1,1,0,25.0
plan_conference_slot,4,2,2,0,50.0
plan_delivery_slot,4,2,2,0,50.0
plan_desk_slot,4,2,1,0,50.0
plan_jobs_share,4,0,0,0,0.0
plan_memo,4,2,0,0,50.0
plan_points_share,4,4,4,0,100.0
plan_seats_share,4,0,0,0,0.0
plan_tickets_share,4,2,2,0,50.0
plan_upgrade_slot,4,0,0,0,0.0
prediction_cache,4,1,1,0,25.0
price_cache,4,1,0,0,25.0
prices_stream,5,2,0,0,40.0
priority_mix,4,0,0,0,0.0
probability_curve,5,1,0,0,20.0
probability_rebalance,4,1,0,0,25.0
profile_expiry,4,2,2,0,50.0
queue_window_avg,4,2,2,0,50.0
quota_allocator_service,4,1,1,0,25.0
quota_for_capacity,4,0,0,0,0.0
quota_for_fuel,5,1,0,0,20.0
quota_for_inventory,4,0,0,0,0.0
quota_for_memory,5,0,0,0,0.0
quota_for_storage,4,1,1,0,25.0
quote_memo,4,3,3,0,75.0
rating_curve,4,2,0,0,50.0
read_throttle,4,2,0,0,50.0
realign_cache,4,4,2,0,100.0
realign_power,4,2,1,0,50.0
realign_replica,4,3,1,0,75.0
rebate_splitter,4,3,1,0,75.0
redis_like_expiry,4,2,2,0,50.0
rent_splitter,4,3,1,0,75.0
replica_sync_offsets,4,1,0,0,25.0
request_token_bucket,4,1,0,0,25.0
reservation_booking,4,2,2,0,50.0
reservation_overlap_check,4,1,1,0,25.0
reserve_band,4,2,2,0,50.0
reserve_lane,4,2,2,0,50.0
reserve_slot,4,1,1,0,25.0
retry_backoff_window,4,2,0,0,50.0
retry_tally,4,1,0,0,25.0
revenue_share,4,2,0,0,50.0
rolling_errors,4,1,1,0,25.0
rolling_requests,4,2,0,0,50.0
rolling_retries,4,1,1,0,25.0
rolling_usage,4,0,0,0,0.0
room_reservation,4,2,2,0,50.0
royalty_payout,5,1,1,0,20.0
sales_window_avg,4,1,1,0,25.0
schedule_call,4,3,2,0,75.0
schedule_car,4,1,0,0,25.0
schedule_demo,4,2,2,0,50.0
schedule_pickup,4,1,0,0,25.0
schedule_shift_allocator,4,1,0,0,25.0
schedule_training,4,1,1,0,25.0
schedule_window,5,1,0,0,20.0
scores_apportion,4,2,2,0,50.0
search_result_pager,4,2,1,0,50.0
sensor_window_avg,4,2,1,0,50.0
session_memo,4,2,2,0,50.0
shard_assignment,4,1,1,0,25.0
shares_apportion,5,1,0,0,20.0
shift_demand,4,2,1,0,50.0
shift_feature,4,1,0,0,25.0
shift_risk,4,1,0,0,25.0
shift_traffic,4,2,0,0,50.0
shift_trust,4,3,2,0,75.0
shift_weight,4,3,2,0,75.0
signals_stream,4,2,0,0,50.0
slots_apportion,4,1,1,0,25.0
smooth_clicks,4,0,0,0,0.0
smooth_cpu,4,1,0,0,25.0
smooth_pressure,4,1,0,0,25.0
smooth_throughput,4,2,2,0,50.0
speed_trendline,4,2,0,0,50.0
storage_mix,5,3,2,0,60.0
