function,pct_suspicious_before_cf,pct_suspicious_after_cf,improvement_pp,primary_constraint,cf_available
ad_mix,11.8,11.8,0.0,N/A,False
adjust_allocation,5.9,5.9,0.0,N/A,False
adjust_portfolio,5.8,5.8,0.0,N/A,False
adjust_queue,5.8,5.8,0.0,N/A,False
adjust_supply,10.2,10.2,0.0,N/A,False
allocate_bonus_cut,11.1,11.1,0.0,N/A,False
allocate_bounty_cut,10.4,10.4,0.0,N/A,False
allocate_budget_cut,14.3,14.3,0.0,N/A,False
allocate_pool_cut,9.6,9.6,0.0,N/A,False
allocate_prize_cut,10.5,10.5,0.0,N/A,False
api_rate_guard,8.8,8.8,0.0,N/A,False
attention_mask_merge,4.0,4.0,0.0,N/A,False
audit_window_filter,9.4,9.4,0.0,N/A,False
award_payout,2.0,2.0,0.0,N/A,False
backlog_rolling_avg,4.2,4.2,0.0,N/A,False
bandwidth_apportion,2.0,2.0,0.0,N/A,False
bandwidth_budgeter,9.4,9.4,0.0,N/A,False
bandwidth_rebalance,10.2,10.2,0.0,N/A,False
batch_rate,5.9,5.9,0.0,N/A,False
batch_tally,2.0,2.0,0.0,N/A,False
batchnorm_running_mean,1.9,1.9,0.0,N/A,False
bill_payout,1.9,1.9,0.0,N/A,False
billing_gate,8.6,8.6,0.0,N/A,False
blend_levels,12.1,12.1,0.0,N/A,False
blend_margins,10.2,10.2,0.0,N/A,False
blend_orders,8.6,8.6,0.0,N/A,False
blend_supplies,8.9,8.9,0.0,N/A,False
budget_budgeter,9.1,9.1,0.0,N/A,False
budget_mix,11.1,11.1,0.0,N/A,False
bump_click,10.0,10.0,0.0,N/A,False
bump_conversion,4.3,4.3,0.0,N/A,False
bump_job,11.4,11.4,0.0,N/A,False
bump_purchase,9.8,9.8,0.0,N/A,False
bump_refund,10.9,10.9,0.0,N/A,False
cache_entry_ttl,8.9,8.9,0.0,N/A,False
cached_inventory,8.9,8.9,0.0,N/A,False
cached_manifest,10.0,10.0,0.0,N/A,False
cached_metric,10.6,10.6,0.0,N/A,False
