function,n_constraints,n_violated_on_failing,n_over_approximate,n_pruned_by_cf,pct_violated
ad_mix,3,3,2,0,100.0
adjust_allocation,4,2,1,0,50.0
adjust_portfolio,3,1,0,0,33.3
adjust_queue,3,1,1,0,33.3
adjust_supply,3,3,2,0,100.0
allocate_bonus_cut,3,2,0,0,66.7
allocate_bounty_cut,4,1,0,0,25.0
allocate_budget_cut,3,3,1,0,100.0
allocate_pool_cut,3,1,0,0,33.3
allocate_prize_cut,4,3,1,0,75.0
api_rate_guard,4,1,0,0,25.0
attention_mask_merge,4,2,2,0,50.0
audit_window_filter,3,1,1,0,33.3
award_payout,3,0,0,0,0.0
backlog_rolling_avg,3,1,1,0,33.3
bandwidth_apportion,3,0,0,0,0.0
bandwidth_budgeter,3,1,1,0,33.3
bandwidth_rebalance,4,1,0,0,25.0
batch_rate,4,1,0,0,25.0
batch_tally,3,0,0,0,0.0
batchnorm_running_mean,4,1,0,0,25.0
bill_payout,3,0,0,0,0.0
billing_gate,4,1,0,0,25.0
blend_levels,3,3,0,0,100.0
blend_margins,4,3,0,0,75.0
blend_orders,3,3,0,0,100.0
blend_supplies,3,1,0,0,33.3
budget_budgeter,4,1,1,0,25.0
budget_mix,4,3,2,0,75.0
bump_click,4,1,0,0,25.0
bump_conversion,4,1,0,0,25.0
bump_job,3,1,1,0,33.3
bump_purchase,3,1,1,0,33.3
bump_refund,4,2,1,0,50.0
cache_entry_ttl,4,1,1,0,25.0
cached_inventory,3,1,1,0,33.3
cached_manifest,3,1,1,0,33.3
cached_metric,4,1,1,0,25.0
cached_preference,4,1,1,0,25.0
cached_route,3,1,1,0,33.3
cacheline_expiry,3,1,1,0,33.3
cacheline_refresh,3,1,1,0,33.3
calendar_slot_insert,3,1,1,0,33.3
calibrate_latency,3,2,1,0,66.7
calibrate_lift,3,2,0,0,66.7
calibrate_loss,4,2,0,0,50.0
calibrate_pressure,3,2,0,0,66.7
calibrate_quality,3,2,0,0,66.7
calibrate_score,3,2,0,0,66.7
calibrate_trend,4,1,1,0,25.0
catalog_cache,4,1,0,0,25.0
checkout_rate,3,2,1,0,66.7
cluster_rebalance_weights,4,4,2,0,100.0
combine_depths,4,1,0,0,25.0
combine_offsets,4,2,0,0,50.0
combine_requests,4,3,0,0,75.0
combine_responses,4,2,0,0,50.0
combine_scores,4,2,0,0,50.0
confidence_trendline,3,2,0,0,66.7
config_expiry,3,2,1,0,66.7
config_interpolate,4,2,0,0,50.0
cost_trendline,4,2,0,0,50.0
coupons_apportion,3,1,1,0,33.3
coverage_interp,4,2,1,0,50.0
cpu_allocator,3,1,1,0,33.3
credit_share,3,2,1,0,66.7
credits_allocator,4,1,1,0,25.0
dataloader_shard_merge,3,1,0,0,33.3
demand_curve,3,2,1,0,66.7
demand_forecast_curve,3,2,0,0,66.7
demands_union,4,1,0,0,25.0
divide_coupon,3,0,0,0,0.0
divide_refund,4,3,1,0,75.0
donation_share,3,3,1,0,100.0
download_rate,3,1,0,0,33.3
downtime_booking,4,1,1,0,25.0
draft_cache,3,2,1,0,66.7
email_send_quota,4,1,1,0,25.0
embedding_lookup_cache,4,3,3,0,75.0
energy_window_avg,3,1,1,0,33.3
error_meter,3,2,2,0,66.7
estimate_reliability,3,2,2,0,66.7
estimate_supply,3,2,0,0,66.7
estimate_temperature,4,1,0,0,25.0
event_gate,4,1,1,0,25.0
feature_cache,3,1,0,0,33.3
feature_flag_rollout,4,1,1,0,25.0
fee_splitter,3,0,0,0,0.0
file_chunk_stitch,4,2,0,0,50.0
fuel_moving_mean,3,1,1,0,33.3
gain_trendline,3,2,0,0,66.7
gpu_memory_pool,3,0,0,0,0.0
grades_union,4,1,0,0,25.0
gradient_clip_budget,3,1,1,0,33.3
grant_share,4,2,0,0,50.0
growth_trendline,4,2,0,0,50.0
guard_email,4,2,0,0,50.0
guard_search,3,1,1,0,33.3
guard_write,3,2,1,0,66.7
heartbeat_throttle,4,1,1,0,25.0
histogram_bucket_merge,4,4,0,0,100.0
ids_merge,4,2,0,0,50.0
inspection_booking,4,2,1,0,50.0
invoice_merge_stream,4,2,0,0,50.0
invoice_meter,4,0,0,0,0.0
job_queue_priority,4,1,0,0,25.0
kv_snapshot_reader,4,2,1,0,50.0
latencies_merge,4,2,0,0,50.0
latency_rolling_avg,3,1,1,0,33.3
ledger_balance_rollup,4,1,0,0,25.0
limit_api,3,2,2,0,66.7
limit_job,4,1,0,0,25.0
limit_message,4,1,0,0,25.0
limit_ping,4,2,2,0,50.0
limit_query,3,1,1,0,33.3
limit_sensor,4,2,2,0,50.0
load_mix,4,2,0,0,50.0
load_rolling_avg,4,1,1,0,25.0
log_sampling_decider,3,1,1,0,33.3
login_tally,3,1,1,0,33.3
login_throttle,4,1,0,0,25.0
lr_warmup_schedule,3,1,1,0,33.3
lru_evictor,4,2,0,0,50.0
machine_booking,3,1,1,0,33.3
maintenance_booking,3,0,0,0,0.0
memory_moving_mean,4,1,1,0,25.0
message_counter,4,2,1,0,50.0
metric_rolling_avg,3,1,1,0,33.3
model_confidence_clamp,3,2,0,0,66.7
notification_gate,4,1,1,0,25.0
offer_expiry,3,1,1,0,33.3
optimizer_step_guard,3,2,1,0,66.7
packets_window_avg,3,0,0,0,0.0
pages_union,3,1,0,0,33.3
payment_payout,4,3,1,0,75.0
payment_split_rebate,3,1,0,0,33.3
percentile_estimator,4,2,0,0,50.0
plan_appointment_slot,4,1,1,0,25.0
plan_conference_slot,4,2,2,0,50.0
plan_delivery_slot,3,2,2,0,66.7
plan_desk_slot,3,2,1,0,66.7
plan_jobs_share,3,0,0,0,0.0
plan_memo,4,2,0,0,50.0
plan_points_share,4,4,4,0,100.0
plan_seats_share,3,0,0,0,0.0
plan_tickets_share,4,2,2,0,50.0
plan_upgrade_slot,4,0,0,0,0.0
prediction_cache,4,1,1,0,25.0
price_cache,4,1,0,0,25.0
prices_stream,4,2,0,0,50.0
priority_mix,3,0,0,0,0.0
probability_curve,3,1,0,0,33.3
probability_rebalance,3,1,0,0,33.3
profile_expiry,3,2,2,0,66.7
queue_window_avg,3,2,2,0,66.7
quota_allocator_service,3,1,1,0,33.3
quota_for_capacity,4,0,0,0,0.0
quota_for_fuel,4,0,0,0,0.0
quota_for_inventory,4,0,0,0,0.0
quota_for_memory,4,0,0,0,0.0
quota_for_storage,4,1,1,0,25.0
