function,pct_suspicious_before_cf,pct_suspicious_after_cf,improvement_pp,primary_constraint,cf_available
ad_mix,11.8,11.8,0.0,N/A,True
adjust_allocation,5.9,5.9,0.0,N/A,True
adjust_portfolio,3.8,3.8,0.0,N/A,True
adjust_queue,3.8,3.8,0.0,N/A,True
adjust_supply,12.2,12.2,0.0,N/A,True
allocate_bonus_cut,11.1,9.3,1.9,C1,True
allocate_bounty_cut,10.4,10.4,0.0,N/A,True
allocate_budget_cut,12.2,10.2,2.0,C1,True
allocate_pool_cut,9.6,9.6,0.0,N/A,True
allocate_prize_cut,8.8,8.8,0.0,N/A,True
api_rate_guard,8.8,8.8,0.0,C1,True
attention_mask_merge,4.0,4.0,0.0,N/A,True
audit_window_filter,9.4,9.4,0.0,N/A,True
award_payout,3.9,2.0,2.0,C4,True
backlog_rolling_avg,6.2,6.2,0.0,N/A,True
bandwidth_apportion,2.0,2.0,0.0,N/A,True
bandwidth_budgeter,9.4,9.4,0.0,N/A,True
bandwidth_rebalance,10.2,10.2,0.0,C1,True
batch_rate,5.9,3.9,2.0,C4,True
batch_tally,2.0,2.0,0.0,N/A,True
batchnorm_running_mean,1.9,1.9,0.0,C2,True
bill_payout,1.9,1.9,0.0,N/A,True
billing_gate,8.6,8.6,0.0,C1,True
blend_levels,10.3,8.6,1.7,C1,True
blend_margins,11.9,8.5,3.4,C1,True
blend_orders,10.3,8.6,1.7,C1,True
blend_supplies,8.9,8.9,0.0,C1,True
budget_budgeter,9.1,9.1,0.0,N/A,True
budget_mix,11.1,3.7,7.4,C3,True
bump_click,10.0,10.0,0.0,C1,True
bump_conversion,2.1,2.1,0.0,C2,True
bump_job,11.4,11.4,0.0,N/A,True
bump_purchase,9.8,9.8,0.0,N/A,True
bump_refund,10.9,2.2,8.7,C3,True
cache_entry_ttl,8.9,8.9,0.0,N/A,True
cached_inventory,8.9,8.9,0.0,N/A,True
cached_manifest,10.0,10.0,0.0,N/A,True
cached_metric,10.6,10.6,0.0,N/A,True
cached_preference,8.2,8.2,0.0,N/A,True
cached_route,10.6,10.6,0.0,N/A,True
cacheline_expiry,10.0,10.0,0.0,N/A,True
cacheline_refresh,9.3,9.3,0.0,N/A,True
calendar_slot_insert,1.8,1.8,0.0,N/A,True
calibrate_latency,3.6,1.8,1.8,C2,True
calibrate_lift,10.0,10.0,0.0,C1,True
calibrate_loss,1.8,1.8,0.0,C2,True
calibrate_pressure,3.6,1.8,1.8,C2,True
calibrate_quality,8.6,8.6,0.0,C1,True
calibrate_score,8.9,1.8,7.1,C2,True
calibrate_trend,2.0,2.0,0.0,N/A,True
catalog_cache,10.4,10.4,0.0,C1,True
checkout_rate,9.6,9.6,0.0,C1,True
cluster_rebalance_weights,10.2,2.0,8.2,C3,True
combine_depths,7.8,7.8,0.0,C1,True
combine_offsets,14.8,1.9,13.0,C2,True
combine_requests,19.4,8.1,11.3,C1,True
combine_responses,8.6,1.7,6.9,C2,True
combine_scores,10.9,9.1,1.8,C1,True
confidence_trendline,3.1,1.5,1.5,C2,True
config_expiry,10.3,10.3,0.0,N/A,True
config_interpolate,1.8,1.8,0.0,C2,True
cost_trendline,9.3,9.3,0.0,C1,True
coupons_apportion,7.5,7.5,0.0,N/A,True
coverage_interp,8.9,1.8,7.1,C2,True
cpu_allocator,9.1,9.1,0.0,N/A,True
credit_share,5.9,2.0,3.9,C4,True
credits_allocator,8.8,8.8,0.0,N/A,True
dataloader_shard_merge,8.2,8.2,0.0,C1,True
demand_curve,4.1,2.0,2.0,C2,True
